target_variable,feature_name,pearson_abs_corr,mutual_info_score
Would you feel comfortable discussing a mental health disorder with your direct supervisor(s)?,Are you self-employed?,,0.0
Would you feel comfortable discussing a mental health disorder with your direct supervisor(s)?,How many employees does your company or organization have?,0.0435,0.003
Would you feel comfortable discussing a mental health disorder with your direct supervisor(s)?,Is your employer primarily a tech company/organization?,0.0181,0.0
Would you feel comfortable discussing a mental health disorder with your direct supervisor(s)?,Is your primary role within your company related to tech/IT?,0.0254,0.0024
Would you feel comfortable discussing a mental health disorder with your direct supervisor(s)?,Does your employer provide mental health benefits as part of healthcare coverage?,0.1077,0.0
Would you feel comfortable discussing a mental health disorder with your direct supervisor(s)?,Do you know the options for mental health care available under your employer-provided coverage?,0.1179,0.0206
Would you feel comfortable discussing a mental health disorder with your direct supervisor(s)?,Does your employer offer resources to learn more about mental health concerns and options for seeking help?,0.1733,0.0
Would you feel comfortable discussing a mental health disorder with your direct supervisor(s)?,Is your anonymity protected if you choose to take advantage of mental health or substance abuse treatment resources provided by your employer?,0.2198,0.0
Would you feel comfortable discussing a mental health disorder with your direct supervisor(s)?,"If a mental health issue prompted you to request a medical leave from work, asking for that leave would be:",0.3599,0.0623
Would you feel comfortable discussing a mental health disorder with your direct supervisor(s)?,Do you think that discussing a physical health issue with your employer would have negative consequences?,0.27,0.0675
Would you feel comfortable discussing a mental health disorder with your direct supervisor(s)?,Have you heard of or observed negative consequences for co-workers who have been open about mental health issues in your workplace?,0.0813,0.0028
Would you feel comfortable discussing a mental health disorder with your direct supervisor(s)?,Do you have previous employers?,0.1073,0.0
Would you feel comfortable discussing a mental health disorder with your direct supervisor(s)?,Have your previous employers provided mental health benefits?,0.0185,0.0
Would you feel comfortable discussing a mental health disorder with your direct supervisor(s)?,Were you aware of the options for mental health care provided by your previous employers?,0.0519,0.0056
Would you feel comfortable discussing a mental health disorder with your direct supervisor(s)?,Did your previous employers ever formally discuss mental health (as part of a wellness campaign or other official communication)?,0.0466,0.0302
